,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
10,11.042765,0.855018,0.022889,0.0,366.043335,353.544403,0.077078,0.757355,7.1e-05,28.172943,0.25227,13.804837,0.001827,0.165491,0.058225,1.184049,0.038122,0.123895,0.57341,0.543403,0.041438,0.040477,0.039881,18.56538,18.318571,18.022537,17.801977,18.195625,18.907005,17.927786,18.702251,18.287197,18.556795,17.741491,17.100492,18.477404,17.996626,18.381781,18.347601,17.786068,17.987677,18.081242,18.050695,18.015173,18.133871,17.889105,15.541773,16.638647,17.498117,17.955299,17.87763,18.109278,17.217314,17.846445,18.142204,17.119308,17.675766,17.705502,17.755844,17.825136,17.872366,17.460217,18.064911,18.138557,17.013523,17.921963,17.323509,20.086418,20.394226,21.296268,20.35935,19.88571,20.105293,20.054823,20.126677,20.833258
11,11.042692,0.855114,0.022889,0.0,365.863647,353.488251,0.077395,0.745134,7.1e-05,27.860943,0.265507,13.804837,0.001739,0.165481,0.057863,1.183441,0.038035,0.123916,0.573374,0.543319,0.041435,0.040506,0.039909,18.561163,18.310602,18.023624,17.801912,18.205002,18.91387,17.919842,18.69412,18.28406,18.560904,17.751015,17.128981,18.465927,18.002836,18.433174,18.347601,17.786068,17.979967,18.069983,17.998474,17.988708,18.128305,17.888508,15.537663,16.631834,17.506126,17.96364,17.877743,18.112577,17.226732,17.837061,18.14752,17.119499,17.726246,17.753717,17.723,17.839943,17.87759,17.459282,18.062391,18.131784,17.011614,17.921003,17.323393,20.087311,20.403511,21.291637,20.303196,19.88571,20.105198,20.051586,20.131535,20.833111
12,11.043006,0.855057,0.022889,0.0,366.372223,353.696991,0.07695,0.760693,7.1e-05,27.560707,0.265507,13.804837,0.001933,0.165372,0.057471,1.183923,0.03793,0.123757,0.573382,0.543297,0.041376,0.040351,0.039819,18.558453,18.306244,18.023987,17.773312,18.182236,18.912468,17.929216,18.692602,18.287092,18.553055,17.749563,17.169056,18.484264,18.001858,18.381781,18.347601,17.786068,17.980467,18.06077,17.998474,17.988708,18.135538,17.893219,15.547546,16.638714,17.486052,17.962175,17.859667,18.074057,17.202726,17.825825,18.158369,17.124199,17.704996,17.705502,17.717709,17.849133,17.880072,17.461575,18.082052,18.139002,17.012367,17.915085,17.329557,20.077494,20.38472,21.301308,20.303196,19.88571,20.102612,20.056337,20.122215,20.835712
13,11.04277,0.855347,0.022889,0.0,364.58429,353.574249,0.077099,0.788494,7.2e-05,27.312151,0.261446,13.804837,0.001729,0.165259,0.057142,1.183945,0.037948,0.123692,0.573297,0.543216,0.041263,0.040282,0.03972,18.555,18.286074,18.020493,17.769722,18.196989,18.911413,17.93111,18.694851,18.277451,18.559803,17.751783,17.13945,18.469652,17.99494,18.43157,18.347601,17.786068,17.996006,18.056017,17.998474,17.988708,18.126183,17.878077,15.545175,16.636145,17.486044,17.979836,17.865747,18.105526,17.241632,17.828304,18.123121,17.119713,17.692743,17.705502,17.719414,17.857914,17.893536,17.468506,18.062838,18.137629,17.013969,17.918127,17.324629,20.075686,20.38435,21.289303,20.303196,19.88571,20.101994,20.045372,20.131577,20.83712
14,11.042879,0.855085,0.032715,0.0,365.81369,353.509216,0.07802,0.783896,7.1e-05,27.162169,0.255211,13.804837,0.001847,0.165239,0.056878,1.18382,0.037878,0.123561,0.573398,0.543177,0.041195,0.040217,0.039616,18.548883,18.281485,18.017864,17.773701,18.18257,18.907312,17.930319,18.69207,18.281059,18.557993,17.740135,17.147516,18.468166,17.998798,18.381781,18.296303,17.786068,17.961685,18.045979,17.998474,17.952814,18.12249,17.877523,15.539788,16.639116,17.488903,17.956253,17.861635,18.124105,17.26713,17.826326,18.138105,17.114744,17.704161,17.705502,17.769318,17.869028,17.905361,17.45446,18.069366,18.135342,17.009289,17.918692,17.317276,20.071272,20.395136,21.294594,20.303196,19.88571,20.102991,20.046381,20.127958,20.834654
15,11.042769,0.854864,0.022889,0.0,365.446655,353.602661,0.076631,0.751867,7.1e-05,27.079159,0.248531,13.804837,0.001668,0.165165,0.056786,1.183624,0.037794,0.123517,0.573344,0.543096,0.041091,0.04011,0.039573,18.542755,18.274071,18.017693,17.763363,18.168959,18.903463,17.920107,18.690418,18.279501,18.564512,17.740952,17.113581,18.466793,18.004072,18.381781,18.347601,17.786068,17.962765,18.028709,17.942322,17.988708,18.130821,17.875002,15.538392,16.634815,17.479967,17.968077,17.872833,18.090635,17.274223,17.827316,18.147718,17.116753,17.709957,17.705502,17.730822,17.885906,17.907503,17.456861,18.06946,18.132593,17.011724,17.914522,17.322811,20.073214,20.387381,21.284361,20.303196,19.912298,20.102051,20.048828,20.132906,20.829952
16,11.042804,0.855015,0.022889,0.0,365.092163,353.640625,0.078075,0.728825,7.1e-05,27.017975,0.230411,13.804837,0.001547,0.165026,0.056699,1.183702,0.037723,0.123517,0.573348,0.543037,0.041061,0.040049,0.039519,18.545284,18.265497,18.014673,17.749214,18.177225,18.907291,17.924551,18.694626,18.284822,18.550817,17.742397,17.124832,18.468037,17.992188,18.435789,18.34432,17.786068,17.958649,18.016642,17.983419,17.932554,18.132957,17.879972,15.534524,16.632046,17.488281,17.948357,17.872755,18.111111,17.287624,17.843386,18.143957,17.122242,17.66501,17.705502,17.773861,17.890532,17.920689,17.457939,18.065346,18.132477,17.00079,17.912827,17.330734,20.06732,20.387905,21.289598,20.341921,19.88571,20.104342,20.050516,20.124159,20.831968
17,11.04296,0.855174,0.022889,0.0,365.745148,353.730957,0.078737,0.769792,7.1e-05,26.967649,0.245595,13.804837,0.001734,0.165083,0.056613,1.183763,0.037682,0.123453,0.573302,0.543016,0.041016,0.039941,0.039486,18.542839,18.265085,18.014256,17.745512,18.16201,18.910044,17.93026,18.694593,18.280586,18.554283,17.732834,17.1231,18.464752,18.00514,18.381781,18.347601,17.786068,17.944494,18.015171,17.942322,17.932554,18.133747,17.874968,15.538686,16.634771,17.48645,17.972645,17.878248,18.095533,17.29838,17.830189,18.148281,17.109983,17.680384,17.705502,17.741753,17.904329,17.931957,17.454584,18.069984,18.139452,17.006145,17.914762,17.323013,20.066259,20.390209,21.286049,20.303196,19.88571,20.102619,20.054913,20.126572,20.828823
18,11.042779,0.855089,0.029496,0.0,365.069275,354.030945,0.076682,0.750461,7.1e-05,26.94607,0.246541,13.804837,0.001695,0.16498,0.056501,1.183064,0.037635,0.123414,0.573261,0.542949,0.040882,0.039932,0.039474,18.533871,18.251373,18.021116,17.750153,18.161993,18.904907,17.93121,18.696772,18.277504,18.54241,17.739256,17.17798,18.472445,17.999025,18.381781,18.340925,17.786068,17.950966,17.996855,17.942322,17.932554,18.128763,17.866016,15.541452,16.634045,17.490904,17.96821,17.86327,18.06896,17.285879,17.819777,18.149561,17.112165,17.69968,17.705502,17.773861,17.920767,17.943224,17.458611,18.06526,18.137331,17.012009,17.913504,17.324961,20.059013,20.385851,21.292313,20.318348,19.88571,20.104851,20.045479,20.121208,20.820822
19,11.043073,0.854994,0.022889,0.0,365.486298,354.590759,0.078737,0.763579,7.1e-05,26.933556,0.254263,13.804837,0.00175,0.164895,0.056484,1.183317,0.037491,0.123346,0.573227,0.542938,0.040904,0.039866,0.039319,18.529438,18.247688,18.006773,17.734905,18.149677,18.911522,17.921305,18.687763,18.279318,18.548725,17.746033,17.132282,18.461649,17.994173,18.381781,18.347601,17.786068,17.946531,17.995794,17.942322,17.932554,18.132942,17.87369,15.53865,16.630199,17.474373,17.956297,17.859705,18.088348,17.312557,17.825861,18.155691,17.113916,17.683588,17.746319,17.773861,17.944134,17.955982,17.456444,18.06719,18.133131,16.999207,17.91404,17.323042,20.060965,20.394838,21.297739,20.303196,19.90061,20.098228,20.049644,20.133127,20.824686
